 "courseLabel" ,
 "Technical Writing and Communication" ,
 "Mechanical Engineering Drawing" ,
 "SPEC/STUD:17C TO PRESENT" ,
 "READING COURSE" ,
 "Capstone II Examination Preparation" ,
 "SEM/ADV TOPICS IN MARKETING" ,
 "International Finance" ,
 "BIOINFORMATICS ALGORITHMS" ,
 "HIV/AIDS: Cultural, Social and Scientific Aspects of the Pandemic" ,
 "Canadian Political Culture" ,
 "Experiments and Experience in Ethnographic Writing" ,
 "Robotics for Artists" ,
 "Cases in Industrial Engineering" ,
 "SPECIAL PROJECT IN MUSIC" ,
 "MGMNT INFORMATION SYSTEMS" ,
 "STRUCTURAL SYSTEMS/BUILDING" ,
 "Mathematics for Economists I" ,
 "Community Youth Development" ,
 "Le roman policier français" ,
 "FEMINISMES  FRANCOPHONIE" ,
 "Labour and Industrial Relations in Construction" ,
 "Non-Indo-European Structures" ,
 "RECEPTION STUDIES" ,
 "(Re)Shaping the City" ,
 "Applied Probability and Statistics for Engineers (4 credits)" ,
 "ADVANCED TOPICS IN EDUCATION" ,
 "Impact of Technology on Society" ,
 "RÉVISION&CORRECTION EN TRAD FRANÇAIS" ,
 "INTER. OF AVIONIC SYSTEMS" ,
 "JAZZ PRIVATE STUDY I" ,
 "Peoples and Cultures of Sub-Saharan Africa" ,
 "Special Topics in Athletic Therapy" ,
 "CONVERSATION FRANÇAISE 5.75" ,
 "SEMINAR IN MESO ORGANIZATIONAL BEHAVIOUR" ,
 "Large Format Photography II" ,
 "Environmental Impact Assessment" ,
 "Testing, Evaluation and Course Design" ,
 "Neuropharmacology" ,
 "LEAN MANUFACTURING" ,
 "Crime and Punishment in Canadian History" ,
 "Visual Form and Communication" ,
 "Specialization Project" ,
 "SCREENWRITING" ,
 "Advanced Techniques in Molecular Biology" ,
 "Voice and Movement for the Stage I" ,
 "ACCOUNTANCY & CONTROL" ,
 "Supply Chain Management" ,
 "TOPICAL SEMINAR IN SOCI II" ,
 "INTRODUCTION TO SHIPPING" ,
 "TRADUCTION ÉCONOMIQUE A-F" ,
 "FATE+TRANSP./CONTAMIN./ENVT." ,
 "Large Format Photography I" ,
 "YOUTH: ANTH & SOCI PERSPECTS" ,
 "BROADBAND COMM. NETWORKS" ,
 "Advanced Classical Mechanics" ,
 "Machine Learning" ,
 "DIGITAL TECHNOLOGIES AND MATERIAL PRACTICES" ,
 "Data Structures and Algorithms" ,
 "SOFT. COMP.& MAINTENANCE" ,
 "SHORT STUDIES OUTSIDE QUEBEC A" ,
 "ADVANCED TOPICS IN GERMAN" ,
 "Introduction to Literary Study" ,
 "Advanced Studies in Postcolonial Writing" ,
 "Internship Seminar" ,
 "ISSUES IN INDEPENDENT CINEMA" ,
 "ENVIRONMENTAL MODELING" ,
 "HR For Startups" ,
 "Antennas" ,
 "Open Educational Resources: Making Course Materials Affordable and Accessible" ,
 "Greek Mythology" ,
 "New Music and Media Arts" ,
 "DOCTORAL LEVEL STUDIES" ,
 "Political Socialization in Canadian and Comparative Perspective" ,
 "Independent Study" ,
 "DIGITAL CONTROL OF DYNAMIC SYSTEMS" ,
 "Form and Function of Organisms" ,
 "Manufacturing Processes" ,
 "Industrial Organization" ,
 "Advanced Scriptwriting for Media" ,
 "NATIONALISM & ETHNICITY" ,
 "Topics in Music History" ,
 "BIBLICAL STUDIES" ,
 "RESEARCH PAPER" ,
 "DIRECTED STUDIES" ,
 "Marketing Research" ,
 "Engineering Management Principles and Economics" ,
 "Religion in Native Traditions" ,
 "TOPICS IN ELECTROACOUSTICS" ,
 "The American Novel" ,
 "Johannine Literature" ,
 "PAINTING II" ,
 "ADVANCED DETECTION AND INCIDENT RESPONSE" ,
 "GENERATIVE DESIGN AND MANUFACTURING IN ENGINEERING" ,
 "SPEC TOP IN DRAMA IN EDUC II" ,
 "Tutorat en littérature" ,
 "STUDIES/CANADIAN LITERATURE" ,
 "Embedded Systems and Software" ,
 "RESEARCH SEMINAR" ,
 "Creation Project A" ,
 "Animation for Computer Games" ,
 "Biological Computing and Synthetics Biology" ,
 "Lesbian Issues and Realities" ,
 "Selected Topics in German" ,
 "PHIL ISSUES IN EDUC RESEARCH" ,
 "Tutorial in Assurance and Professional Practice" ,
 "Medieval Jewish Thought and Institutions" ,
 "SEMINAR IN CONSUMER PSYCHOLOGY AND DECISION MAKING" ,
 "COMPUTER ARCHITECTURE+DESIGN" ,
 "Topics in Research in Mathematics Education" ,
 "MECHANICAL FORMING OF METALS" ,
 "CLINICAL IMPROVISATION/MTHY" ,
 "BUSINESS COMMUNICATION" ,
 "Essential Soft Skills for Career Success" ,
 "MA ORIGINAL RESEARCH ESSAY" ,
 "INVESTIGATIONS/TYPOG. DESIGN" ,
 "Provincial and Territorial Politics" ,
 "SPECIAL TOPICS" ,
 "DIRECTED STUDIES" ,
 "Image Processing" ,
 "TOP SEM CAP+UNDERDEVP AFR LA" ,
 "BUSINESS POLICY/STRATEGY" ,
 "SEMINAR IN FILM HISTORY	" ,
 "JAZZ ARRANGING II" ,
 "SELECTED TOPICS IN LING" ,
 "CLIN HLTH RSRCH AREA SEM II" ,
 "Independent Study I" ,
 "DIR STUD RESEARCH ON SEL TOP" ,
 "DOCUMENTARY VIDEO & RADIO" ,
 "Distributed Systems" ,
 "Architecture and Urbanism in Montreal" ,
 "Introduction to Theatre Production" ,
 "CHRISTIAN MYSTICS" ,
 "STORYTELL/ORAL HIST/IDENTITY" ,
 "Children's Literature" ,
 "SLS-International Literary Seminars" ,
 "ISSUES IN VISUAL AND MATERIAL CULTURE" ,
 "NUMERIC ANALY/NONLINEAR EQUA" ,
 "Plato" ,
 "Visual Journalism" ,
 "ADVANCED LITERARY TRANS (A)" ,
 "TOPICS IN JUDAIC STUDIES" ,
 "DESC & M.I.S." ,
 "SEL TOP.-COMPUTAT'L ALGEBRA" ,
 "TRADUCTION LITTÉRAIRE F-A" ,
 "Special Topics in Political Theory" ,
 "RDG CRS/APPL LINGUISTICS I" ,
 "OPEN MEDIA I" ,
 "Literature and the Holocaust" ,
 "Professional Internship" ,
 "VIDEO GAMES AND/AS LITERATURE" ,
 "SEL TOPICS IN US HISTORY" ,
 "SEL TOP-PHYSIOLOGICAL PSYC A" ,
 "Art and the Viewer" ,
 "NEURAL NETWORKS" ,
 "NETWORKS SECURITY AND MANAGEMENT" ,
 "Human Rights and International Justice" ,
 "Problématiques de l'histoire de l'art" ,
 "FINANCIAL ECONOMICS I" ,
 "Forms of Popular Writing" ,
 "MATERIALS SCIENCE AND ENGINEERING" ,
 "Boost your Career Readiness in this time of change for graduate students" ,
 "Structural Analysis II" ,
 "STUDIES IN CANADIAN LIT." ,
 "DIGITAL SYS.DESIGN+SYNTHESIS" ,
 "Economic History After the Industrial Revolution" ,
 "ENGAGING AND LEADING EMPLOYEES THROUGH CHANGE" ,
 "SELECTED TOPICS IN HISTORY" ,
 "Peer review: NSERC/FRQNT/CIHR/FRQS master's applications" ,
 "SEM/ETHICAL PROFESS L ISSUES" ,
 "STAT CONSULT & DATA ANALYSIS" ,
 "ADV APPLIED ECOL CONSERVAT N" ,
 "BUSINESS VALUATIONS" ,
 "Kinship and Relatedness" ,
 "DIRECTED STUDIES" ,
 "Contemporary Print Processes II" ,
 "Transform Calculus and Partial Differential Equations" ,
 "Build your first website using Wordpress" ,
 "INTERNATIONAL ORGANIZATIONS" ,
 "SEMINAR IN FILM NARRATIVE" ,
 "Science and the Contemporary World" ,
 "RESEARCH AND THESIS" ,
 "Intaglio I" ,
 "METHOD PROB IN STUDY OF RELI" ,
 "IRISH PERFORMANCE STUDIES" ,
 "DIGITAL WAVEFORM COMPRESSION" ,
 "DRAMA III" ,
 "SONGWRITING II" ,
 "STUDIES IN POETRY" ,
 "Studies in Renaissance Literature" ,
 "SPECIAL TOPICS IN JOURNALISM" ,
 "Directed and Independent Study I" ,
 "Classical Civilization" ,
 "Leadership" ,
 "Techniques in Symbolic Computation" ,
 "SOCIODRAMA AND PSYCHODRAMA" ,
 "Un.bound in Perfect Print" ,
 "READING COURSE" ,
 "Peer review: NSERC/FRQNT/CIHR/FRQS doctoral applications" ,
 "FUND. & APPL. OF MIMO COMM." ,
 "Internship in Sustainability" ,
 "Thinking Beyond Humans" ,
 "SPECIAL TOPIC: CELL BIOLOGY" ,
 "COMPREHEN E EXAM/RSRCH PROPO" ,
 "SEMINAR IN CANADIAN ARCHITECTURE" ,
 "NEW TOPICS IN ANTHROPOLOGY" ,
 "U.S. Federal Taxation" ,
 "LEARNING THEORIES" ,
 "DERIVATIVES" ,
 "ADV TOP IN LIBRARY STUDIES" ,
 "SPORTS MARKETING" ,
 "Elements of Multimedia Conception" ,
 "Cyber-Physical Systems" ,
 "Communication Media:  Moving Images I" ,
 "SPEC TOPICS IN STUDIO ARTS" ,
 "SELECTED AREA OF HISTORY" ,
 "Traduction littéraire du français à l'anglais" ,
 "ADVANCED HUMAN DEVELOPMENT" ,
 "RESEARCH PAPER" ,
 "SPECIAL TOPICS IN LING II" ,
 "GRAD. SEMINAR/MECH/INDU ENG." ,
 "Introduction to Administration (Administered by the Finance Department)" ,
 "RDGS/ECOLOGY & BEHAVIOUR II" ,
 "Intermediate Spanish II" ,
 "Capstone Project Seminar I" ,
 "AESTHETICS AND MUSICAL STYLE" ,
 "INTRO TO MARKETING" ,
 "Teaching Language Arts I" ,
 "Building Information Modelling in Construction" ,
 "ACOUSTIC COMM. AND DESIGN" ,
 "ADVANCED ATRP PRACTICUM II" ,
 "PHOTOGRAPHY I" ,
 "Options and Futures" ,
 "LECTURE CRITIQUE DE TRAD" ,
 "EDUC TECH AREA TUTORIAL" ,
 "Urban Transportation" ,
 "DOCTORAL THESIS PROPOSAL" ,
 "Advanced Study in Canadian History" ,
 "CLOUD AND APPLICATION SECURITY" ,
 "SEL TOP/CDN IRISH STUDIES" ,
 "Semantics" ,
 "TOPICS IN MUSIC THEORY/COMP." ,
 "Survival Skills for Scientists and Engineers" ,
 "COMPARATIVE ETHICS" ,
 "Neural Control of Human Movement" ,
 "THE DIGITAL MAGAZINE" ,
 "ADVANCED TOPICS IN LIBS" ,
 "Littérature québécoise ? Canadian Literature" ,
 "SPEC DOCTORAL LEVEL STUDIES" ,
 "Professional Business Skills" ,
 "COMPUTATIONAL CHEMISTRY" ,
 "LIFE IN THE ROUND: PAINTING THE FIGURE FROM OBSERVATION II" ,
 "GUIDED IMAGERY AND MUSIC I" ,
 "SPECIAL TOPICS IN URBS" ,
